title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday,SF,가족,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,서부극(웨스턴),성인물(에로),스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,12세이상관람가,청소년관람불가,전체관람가,15세이상관람가
007스카이폴,2012-10-26,45752,1897589,706,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션,샘멘데스,"다니엘크레이그,하비에르바르뎀,주디덴치,랄프파인즈,나오미해리스,베레니스말로에",2012-11-08,14,목요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
007스펙터,2015-11-11,23395,1711319,991,영국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,"액션,어드벤처,범죄,스릴러",샘멘데스,"다니엘크레이그,레아세이두,크리스토프왈츠,모니카벨루치",2015-11-24,14,화요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10억,2009-08-06,4696,428060,231,한국,(주)싸이더스,15세이상관람가,"스릴러,어드벤처",조민호,"박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호",2009-08-19,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127시간,2011-02-17,1098,179833,223,미국,이십세기폭스코리아(주),15세이상관람가,"드라마,스릴러",대니보일,"제임스프랭코,제임스프랑코",2011-03-02,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12솔져스,2018-01-31,5098,215563,184,미국,(주)제이앤씨미디어그룹,15세이상관람가,"액션,드라마,전쟁",니콜라이퓰시,"크리스헴스워스,마이클섀넌,마이클페나,트레반트로즈",2018-02-13,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13구역얼티메이텀,2009-04-16,9964,474856,231,프랑스,㈜케이디미디어,15세이상관람가,액션,패트릭알레산드렝,"시릴라파엘리,데이빗벨",2009-04-29,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13시간,2016-03-03,1248,142513,364,미국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,스릴러",마이클베이,"존크랜신스키,파블로쉬레이버,토비스티븐스",2016-03-16,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13일의금요일,2009-03-12,2783,204965,127,미국,씨제이엔터테인먼트,청소년관람불가,공포(호러),마커스니스펠,"제러드파달렉키,다니엘파나베이커,아만다라이거티",2009-03-25,14,수요일,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1987,2017-12-27,175795,4445163,1299,한국,씨제이이앤엠(주),15세이상관람가,드라마,장준환,"김윤석,하정우,유해진,김태리,박희순,이희준,강동원,설경구,여진구,유정호,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태",2018-01-09,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19곰테드,2012-09-27,9083,242927,229,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,"코미디,판타지",세스맥팔레인,"마크월버그,밀라쿠니스,세스맥팔레인",2012-10-10,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
